name,realticker,category,market,ticker
Marvell Technology,MRVL,Nasdaq-100,Stock,MRVL
MercadoLibre,MELI,Nasdaq-100,Stock,MELI
Meta Platforms,META,Nasdaq-100,Stock,META
Microchip Technology,MCHP,Nasdaq-100,Stock,MCHP
Micron Technology,MU,Nasdaq-100,Stock,MU
Microsoft,MSFT,Nasdaq-100,Stock,MSFT
MicroStrategy,MSTR,Nasdaq-100,Stock,MSTR
Mondelez International,MDLZ,Nasdaq-100,Stock,MDLZ
MongoDB Inc.,MDB,Nasdaq-100,Stock,MDB
Monster Beverage,MNST,Nasdaq-100,Stock,MNST
"Netflix, Inc.",NFLX,Nasdaq-100,Stock,NFLX
Nvidia,NVDA,Nasdaq-100,Stock,NVDA
NXP Semiconductors,NXPI,Nasdaq-100,Stock,NXPI
O'Reilly Automotive,ORLY,Nasdaq-100,Stock,ORLY
Old Dominion Freight Line,ODFL,Nasdaq-100,Stock,ODFL
Onsemi,ON,Nasdaq-100,Stock,ON
Paccar,PCAR,Nasdaq-100,Stock,PCAR
Palantir Technologies,PLTR,Nasdaq-100,Stock,PLTR
Palo Alto Networks,PANW,Nasdaq-100,Stock,PANW
Paychex,PAYX,Nasdaq-100,Stock,PAYX
PayPal,PYPL,Nasdaq-100,Stock,PYPL
PDD Holdings,PDD,Nasdaq-100,Stock,PDD
PepsiCo,PEP,Nasdaq-100,Stock,PEP
Qualcomm,QCOM,Nasdaq-100,Stock,QCOM
Regeneron Pharmaceuticals,REGN,Nasdaq-100,Stock,REGN
Roper Technologies,ROP,Nasdaq-100,Stock,ROP
Ross Stores,ROST,Nasdaq-100,Stock,ROST
Starbucks,SBUX,Nasdaq-100,Stock,SBUX
Synopsys,SNPS,Nasdaq-100,Stock,SNPS
Take-Two Interactive,TTWO,Nasdaq-100,Stock,TTWO
T-Mobile US,TMUS,Nasdaq-100,Stock,TMUS
"Tesla, Inc.",TSLA,Nasdaq-100,Stock,TSLA
Texas Instruments,TXN,Nasdaq-100,Stock,TXN
Trade Desk (The),TTD,Nasdaq-100,Stock,TTD
Verisk Analytics,VRSK,Nasdaq-100,Stock,VRSK
Vertex Pharmaceuticals,VRTX,Nasdaq-100,Stock,VRTX
Warner Bros. Discovery,WBD,Nasdaq-100,Stock,WBD
"Workday, Inc.",WDAY,Nasdaq-100,Stock,WDAY
Xcel Energy,XEL,Nasdaq-100,Stock,XEL
Zscaler,ZS,Nasdaq-100,Stock,ZS
